El Cerrito Plaza BART Station,Richmond Field Station,Richmond Field Station,Buchanan Street @ Jackson Street,Hopkins Street @ MLK Jr. Way,Evans Hall Hearst Mining Circle Way,Oxford Street @ University Avenue,Downtown Berkeley BART Station: Shattuck Avenue @ Addison,Hopkins Street @ MLK Jr. Way,Buchanan Street @ Jackson Street,Richmond Field Station,Richmond Field Station
6:45 AM,6:57 AM,7:00 AM,7:05 AM,7:10 AM,7:35 AM,7:40 AM,7:42 AM,7:48 AM,7:53 AM,8:02 AM,8:05 AM
,,8:35 AM,8:40 AM,8:45 AM,9:10 AM,9:15 AM,9:17 AM,9:23 AM,9:28 AM,9:35 AM,9:38 AM
,,9:40 AM,9:45 AM,9:50 AM,10:10 AM,10:15 AM,10:17 AM,10:23 AM,10:28 AM,10:35 AM,10:38 AM
,,10:40 AM,10:45 AM,10:50 AM,11:10 AM,11:15 AM,11:17 AM,11:23 AM,11:28 AM,11:35 AM,11:38 AM
,,11:40 AM,11:45 AM,11:50 AM,12:10 PM,12:15 PM,12:17 PM,12:23 PM,12:28 PM,12:35 PM,12:38 PM
,,12:40 PM,12:45 PM,12:50 PM,1:10 PM,1:15 PM,1:17 PM,1:23 PM,1:28 PM,1:35 PM,1:38 PM
,,1:40 PM,1:45 PM,1:50 PM,2:10 PM,2:15 PM,2:17 PM,2:23 PM,2:28 PM,2:35 PM,2:38 PM
,,2:40 PM,2:45 PM,2:50 PM,3:10 PM,3:15 PM,3:17 PM,3:23 PM,3:28 PM,3:35 PM,3:38 PM
,,3:40 PM,3:45 PM,3:50 PM,4:10 PM,4:15 PM,4:17 PM,4:23 PM,4:28 PM,4:35 PM,4:38 PM
,5:00 PM,5:05 PM,5:10 PM,5:15 PM,5:30 PM,5:40 PM,5:42 PM,5:48 PM,5:53 PM,6:00 PM,6:03 PM
,,6:05 PM,6:10 PM,6:15 PM,6:30 PM,6:40 PM,6:42 PM,,,,
