location,imageurl
Anthropology Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FAnthropology_Library.jpg?alt=media&token=6c431bb2-d284-4efe-bf59-f4dba195136b
Art History/Classics Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FArt_History_Classics_Library.jpg?alt=media&token=d4a2cd37-c36e-4b06-a819-aa9e319c6cb6
BAMPFA Film Library & Study Center,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FBAMPFA_Film_Library_Study_Center.jpg?alt=media&token=e22851b0-30c7-4eac-9b44-00ef124946b0
Bancroft Library/University Archives,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FBancroft_Library_University_Archives.jpg?alt=media&token=c56f7eba-dcdd-472b-871a-65f308f52a24
Berkeley Law Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FBerkeley_Law_Library.jpg?alt=media&token=8b44726c-14e2-45ea-acf9-ff51a93fae9b
"Bioscience, Natural Resources & Public Health Library",https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FBioscience_Natural_Resources_Public_Health_Library.jpg?alt=media&token=2b4f3bd0-099f-428a-8596-4e143950e7a5
Brown's,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FBrowns_Cafe.jpg?alt=media&token=41492701-3211-475a-8b03-cd0b7e60fd4e
Business Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FBusiness_Library.jpg?alt=media&token=89ae5215-f5b2-4c7f-a514-d5a0e8f953a8
Cafe 3,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FCafe3.jpg?alt=media&token=f1062476-2cb0-4ce9-9ac1-6109bf588aaa
Cal Student Central,
Career Counseling Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FCareer_Counseling_Library.jpg?alt=media&token=b6401a73-891d-4afb-9b59-8e265562465a
CED Visual Resources Center,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FCED_Visual_Resources_Center.jpg?alt=media&token=7def46cf-9c16-4de6-a581-8b96d1a894ab
Chemistry and Chemical Engineering Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FChemistry_and_Chemical_Engineering_Library.jpg?alt=media&token=97ada9df-5106-4e4b-8049-e10aa1affacc
Clark Kerr,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FClarkKerr.jpg?alt=media&token=075dfbef-51a2-4372-a516-db8074c22360
College of Chemistry,
Copy Center,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FCopy_Center.jpg?alt=media&token=6d48b077-8d5b-4f16-9aed-9c7ab2cd243b
Crossroads,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FCrossroads.jpg?alt=media&token=811ee034-1eca-4fc5-8f4a-179119f88adc
Doe Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FDoe_Library.jpg?alt=media&token=b56ac922-7128-48c0-b233-fc8a63f5922f
Earth Sciences & Map Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FEarth_Sciences_Map_Library.jpg?alt=media&token=aefc152b-a90b-47b7-addc-5eaca0a132b1
East Asian Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FEast_Asian_Library.jpg?alt=media&token=bdddfb79-f893-4943-a2c7-65e44f164f47
Edwards Track,
Engineering Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FEngineering_Library.jpg?alt=media&token=3b498e31-8d37-4fed-b712-bfd67b074237
Environmental Design Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FEnvironmental_Design_Library.jpg?alt=media&token=d06681ea-4caa-406f-b5a7-6e206e9f0d1d
Ethnic Studies Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FEthnic_Studies_Library.jpg?alt=media&token=2154f017-733d-4286-9138-fa6d3c4fab8b
Financial Aid & Scholarships Office,
Foothill,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FFoothill.jpg?alt=media&token=b645d675-6f51-45ea-99f7-9b36576e14b7
GBRC Pool,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FAnthropology_Library.jpg?alt=media&token=6c431bb2-d284-4efe-bf59-f4dba195136b
Gender Equity and Resource Center,
Graduate Services,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FGraduate_Services.jpg?alt=media&token=712d5c67-e2c6-49ab-ba73-65ba581766b1
Graduate Theological Union Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FGraduate_Theological_Union_Library.jpg?alt=media&token=d3cc32ad-4251-4740-bf10-39294e727ca4
Hearst North Pool,
Institute of Governmental Studies Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FInstitute_of_Governmental_Studies_Library.jpg?alt=media&token=d6e72aa4-9404-4c8f-a2fe-40cb448f728a
Institute of Transportation Studies Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FInstitute_of_Transportation_Studies_Library.jpg?alt=media&token=bc08a070-c126-494d-a060-1c32d041e303
Interlibrary Services,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FInterlibrary_Services.jpg?alt=media&token=025aa8d4-926b-464c-888d-caecff7ba767
Kresge Library First Floor,
Main (Gardner) Stacks,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMain_Gardner_Stacks.jpg?alt=media&token=321eb71f-9119-470b-b7f0-c9c64188447f
Mark Twain Papers & Project,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMark_Twain_Papers_Project.jpg?alt=media&token=680a8f73-9161-45fe-8d23-6af26a7cc492
Mathematics Statistics Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMathematics_Statistics_Library.jpg?alt=media&token=9ffb0661-81b2-444b-b05f-bb63f5c6eb46
