category,latitude,longtitude,description1,description2,Sunday Hours,Monday Hours ,Tuesday Hours,Wednesday Hours ,Thursday Hours,Friday Hours,Saturday Hours,notes
Nap Pod,37.867668,-122.264286,Tang Center,2 Massage Chairs,,,,,,,,
Nap Pod,37.868552,-122.262814,RSF,3 Massage Chairs,,,,,,,,
Nap Pod,37.872574,-122.260748,Moffitt Library 5th Floor,"2 Nap Pods, many sleep chairs",,,,,,,,
Nap Pod,37.870735,-122.254893,Wurster Library,REST Zone,,,,,,,,
Nap Pod,37.874062,-122.258305,Kresge Library First Floor,Sleep Chairs,,,,,,,,
Nap Pod,37.874104,-122.263891,Tolman Hall Tech Lounge,Sleep Chairs,,,,,,,,
Nap Pod,37.884926,-122.301081,University Village,2 Massage Chairs,,,,,,,,
Nap Pod,37.873109,-122.256028,College of Chemistry,2 Massage Chairs,,,,,,,,
Water Fountain,37.873979,-122.26544,Barker Hall,Floor 2,,,,,,,,
Water Fountain,37.870032,-122.257989,Barrows Hall,Floor 1,,,,,,,,
Water Fountain,37.874026,-122.258391,Bechtel Engineering Center,Floor 2,,,,,,,,
Water Fountain,37.8722,-122.257239,Birge Hall,Floors 1-5,,,,,,,,
Water Fountain,37.873011,-122.256964,Campbell Hall,Floors 1-5,,,,,,,,
Water Fountain,37.869774,-122.260036,Cesar E. Chavez Student Center,Floor 2,,,,,,,,
Water Fountain,37.871808,-122.254259,Cheit Hall,Floor 2,,,,,,,,
Water Fountain,37.872272,-122.25421,Chou Hall,Floors 1-6,,,,,,,,
Water Fountain,37.875036,-122.257324,Cory Hall,Floor 1,,,,,,,,
Water Fountain,37.874633,-122.25812,Davis Hall,Floor 3,,,,,,,,
Water Fountain,37.872183,-122.259593,Doe Memorial Library,Floors 1-2,,,,,,,,
Water Fountain,37.87034,-122.261207,Dwinelle Annex,"Floors 1-2, C-D",,,,,,,,
Water Fountain,37.868766,-122.260484,Eshleman Hall,Floors 2-4,,,,,,,,
Water Fountain,37.873685,-122.257854,Evans Hall,Ground Floor,,,,,,,,
Water Fountain,37.873436,-122.264749,Genetics and Plant Biology,Floor 1,,,,,,,,
Water Fountain,37.873535,-122.262299,Giannini Hall,Floor 1,,,,,,,,
Water Fountain,37.872648,-122.256289,Gilman Hall,Floors 1-2,,,,,,,,
Water Fountain,37.871465,-122.253445,Haas Library,Floor 2,,,,,,,,
Water Fountain,37.871558,-122.253781,Haas School of Business,Floor 2,,,,,,,,
Water Fountain,37.870444,-122.256187,Hargrove Music Library,Floors 1-3,,,,,,,,
Water Fountain,37.873712,-122.261048,Haviland Hall,Floors 1-2,,,,,,,,
Water Fountain,37.872536,-122.255726,Hildebrand Hall,Level B,,,,,,,,
Water Fountain,37.876022,-122.258802,Jacobs Hall,Floor 3,,,,,,,,
Water Fountain,37.869853,-122.255152,Kroeber Hall,Floors G-2,,,,,,,,
Water Fountain,37.873106,-122.255991,Latimer Hall,Floor 1,,,,,,,,
Water Fountain,37.872663,-122.257526,Le Conte Hall,"Floors 1, 3-4",,,,,,,,
Water Fountain,37.872974,-122.265294,Li Ka Shing Center,Floors 1-2,,,,,,,,
Water Fountain,37.86922,-122.259673,MLK Student Union,"Floors 1, 3-4",,,,,,,,
Water Fountain,37.872574,-122.260748,Moffitt Library,Floors 1-5,,,,,,,,
Water Fountain,37.870892,-122.256391,Morrison Hall,"Basement, Floor 1",,,,,,,,
Water Fountain,37.870999,-122.257992,Moses Hall,Floors 2-3,,,,,,,,
Water Fountain,37.87261,-122.264481,Mulford Hall,Floor 1,,,,,,,,
Water Fountain,37.875,-122.259668,North Gate Hall,Floor 1,,,,,,,,
Water Fountain,37.873412,-122.256018,Pimentel Hall,Floor 1,,,,,,,,
Water Fountain,37.875594,-122.258786,Soda Hall,Floors 2-5,,,,,,,,
Water Fountain,37.869565,-122.258786,Sproul Hall,"Floors 1,3",,,,,,,,
Water Fountain,37.873978,-122.256127,Stanley Hall,Floors B-2,,,,,,,,
Water Fountain,37.871361,-122.257592,Stephens Hall,Floor 2,,,,,,,,
Water Fountain,37.874842,-122.258295,Sutardja Dai Hall,"Floors 2,6",,,,,,,,
Water Fountain,37.874104,-122.263891,Tolman Hall,Floor 3,,,,,,,,
Water Fountain,37.87149,-122.262141,Valley Life Sciences Building,Floor 1,,,,,,,,
Water Fountain,37.873173,-122.262788,Wellman Hall,Floors 2-4,,,,,,,,
Water Fountain,37.871314,-122.259148,Wheeler Hall,Floors 1-3,,,,,,,,
Water Fountain,37.870735,-122.254893,Wurster Hall,Floor 1,,,,,,,,
Microwave,37.869844,-122.259645,GBC,,,,,,,,,
Microwave,37.868552,-122.262814,RSF Pro Shop,,,,,,,,,
Microwave,37.871608,-122.261804,Micro Yali's at VLSB,50 cent cost,,,,,,,,
Microwave,37.871465,-122.253445,Haas,F371,,,,,,,,
Microwave,37.869774,-122.260036,Transfer Center,,,,,,,,,
Microwave,37.86922,-122.259673,Stiles Hall,Basement of MLK,,,,,,,,
Microwave,37.875594,-122.258786,Soda Hall,"311, 562, 678, 728",,,,,,,,
Microwave,37.875036,-122.257324,Cory TeaOne,,,,,,,,,
Microwave,37.875178,-122.255851,Foothill Dining Center,TV Room,,,,,,,,
Microwave,37.874136,-122.258393,Terrace Cafe,,,,,,,,,
Microwave,37.870593,-122.260463,Common Grounds,Top Floor of Dwinelle Hall,,,,,,,,
Printer,37.869853,-122.255152,Kroeber Hall ,,1pm-5pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-5pm,1pm-5pm,
