event_name,event_date,event_type
Fall Semester Begins ,"Wednesday, August 19, 2020",General
Instruction Begins ,"Wednesday, August 26, 2020",General
Academic and Administrative Holiday ,"Monday, September 7, 2020",Holiday
Academic and Administrative Holiday ,"Wednesday, November 11, 2020",Holiday
Non-Instructional Day ,"Wednesday, November 25, 2020",Holiday
Academic and Administrative Holiday ,"Thursday, November 26, 2020",Holiday
Academic and Administrative Holiday ,"Friday, November 27, 2020",Holiday
Formal Classes End ,"Friday, December 4, 2020",General
RRR Week Starts,"Monday, December 7, 2020",General
RRR Week Ends,"Friday, December 11, 2020",General
Last Day of Instruction ,"Friday, December 11, 2020",General
Final Examinations Starts,"Monday, December 14, 2020",General
Final Examinations Ends,"Friday, December 18, 2020",General
Fall Semester Ends ,"Friday, December 18, 2020",General
Academic and Administrative Holiday ,"Thursday, December 24, 2020",Holiday
Academic and Administrative Holiday ,"Friday, December 25, 2020",Holiday
Academic and Administrative Holiday ,"Thursday, December 31, 2020",Holiday
Academic and Administrative Holiday ,"Friday, January 1, 2021",Holiday
Spring Semester Begins ,"Tuesday, January 12, 2021",General
Academic and Administrative Holiday ,"Monday, January 18, 2021",Holiday
Instruction Begins ,"Tuesday, January 19, 2021",General
Academic and Administrative Holiday ,"Monday, February 15, 2021",Holiday
Spring Recess Starts,"Monday, March 22, 2021",Holiday
Spring Recess Ends,"Friday, March 26, 2021",Holiday
Academic and Administrative Holiday ,"Friday, March 26, 2021",Holiday
Formal Classes End ,"Friday, April 30, 2021",General
RRR Week Starts,"Monday, May 30 2021",General
RRR Week Ends,"Friday, May 7, 2021",General
Last Day of Instruction ,"Friday, May 7, 2021",General
Final Examinations Starts,"Monday, May 10, 2021",General
Final Examinations Ends,"Friday, May 14, 2021",General
Spring Semester Ends ,"Friday, May 14, 2021",General
Commencement ,"Saturday, May 15, 2021",General
Academic and Administrative Holiday ,"Monday, May 31, 2021",General
First Six-Week Session Begins ,"Monday, May 24, 2021",General
Academic and Administrative Holiday ,"Monday, May 31, 2021",Holiday
Ten-Week Session Begins ,"Monday, June 7, 2021",General
Eight-Week Session Begins ,"Monday, June 21, 2021",General
First Six-Week Session Ends ,"Friday, July 2, 2021",General
Academic and Administrative Holiday ,"Monday, July 5, 2021",Holiday
