ID,LayerName,Name,Icon,Ownership,bldg_name,Latitude,Longitude,Hours,Cal1Card,EatWell,Website,ValuesDescription,FoodPrice
1,Campus Eateries,Berkeley Student Food Collective,othereatery,ASUC Student Group,2440 Bancroft Way,37.868455,-122.260462,"Mon-Fri: 9am - 8pm, Sat-Sun: 11am - 6pm",Yes,Yes,http://www.foodcollective.org/,"Non-profit, collective grocery store dedicated to providing fresh, local, healthy, sustainable, and ethically produced food at affordable prices.",< $10
2,Campus Eateries,Babette ,othereatery,Babette,Berkeley Art Museum,37.870800,-122.266426,Mon-Sun: 9am - 7pm,No,No,http://babettecafe.com/,"Café on the second floor of the Berkeley Art Museum/Pacific Film Archive serving primarily sustainably sourced food and drinks, including locally-roasted Ritual Coffee.",> $15
3,Campus Eateries,Babette South Hall Coffee Bar,othereatery,Babette,South Hall,37.871325,-122.258586,Mon-Fri: 9am - 3pm,No,Yes,http://babettecafe.com/,Small kiosk serving a selection of baked goods and locally-roasted Ritual Coffee.,< $10
4,Campus Eateries,I-House Café,othereatery,Bon Appétit Management Company,International House,37.869680,-122.252009,"Mon-Thu: 7am - 11pm, Fri: 7am - 10pm, Sat-Sun: 9am - 10pm (Kitchen closes at 9pm)",Yes,No,http://ihouse.berkeley.edu/dining/cafe.php,"Café serving direct trade coffees, hot breakfasts, fresh pastries, and an array of grab and go salads and sandwiches, some made with local ingredients.",< $10
5,Campus Eateries,I-House Dining Commons,othereatery,Bon Appétit Management Company,International House,37.869667,-122.251616,"Mon-Fri: Breakfast 7:15 - 9:30am, Lunch 11:30am - 1:30pm,
Dinner 6 - 8pm, Sat-Sun: Brunch 9:30am - 1pm, Dinner 6 - 8pm",No,No,http://ihouse.berkeley.edu/dining/menu.php,"Dining hall serving fresh salads, soup, pasta and specialty items, with a variety of vegan/vegetarian and gluten-free options.",$10-15
6,Campus Eateries,Bear Market,caldining,CalDining,Residence Halls Unit 3,37.867293,-122.260385,Mon-Sun: 8am - 12am,Yes,No,http://caldining.berkeley.edu/locations/residential-retail/bear-market,"One of CalDining's mini grocery stores with grab-and-go meals, snacks, beverages, and health and beauty items (CalFresh/SNAP accepted).",< $10
7,Campus Eateries,brown's ,caldining,CalDining,GPB Teaching Building,37.873334,-122.264876,"Mon-Thu: 7:30am - 6pm, Fri 7:30am - 4pm",Yes,No,http://caldining.berkeley.edu/locations/on-campus-retail/pat-browns,"brown's features vegetable-forward and ""better meat"" menu options like grass-fed burgers, with ingredients from within 250 miles of campus when possible.",$10-15
8,Campus Eateries,Cafe 3,caldining,CalDining,Residence Halls Unit 3,37.867025,-122.260318,"Mon-Sun: Brunch 10am - 2pm, Dinner 5pm - 9pm",Yes,No,https://caldining.berkeley.edu/locations/dining-commons/cafe3,"One of CalDining's main dining commons locations, with a variety of fresh entrees, salards, soups, and sides catering to vegetarian/vegan, halal and kosher (no pork or shellfish served), and gluten- and other allergen-free diets.",$10-15
9,Campus Eateries,CK Cub,caldining,CalDining,Clark Kerr Campus,37.863844,-122.248774,"Mon-Fri: Breakfast 7am - 9am, Sat-Sun: Brunch, 10am - 2pm, Mon-Sun: Dinner 5:30pm - 8pm",Yes,No,http://caldining.berkeley.edu/locations/dining-commons/clark-kerr,"One of CalDining's mini grocery stores with grab-and-go meals, snacks, beverages, and health and beauty items.",< $10
10,Campus Eateries,Clark Kerr,caldining,CalDining,Clark Kerr Campus,37.863875,-122.248458,"Mon-Fri: Breakfast 7am - 9am, Sat-Sun: Brunch, 10am - 2pm, Mon-Sun: Dinner 5:30pm - 8pm",Yes,No,http://caldining.berkeley.edu/locations/dining-commons/clark-kerr,"One of CalDining's main dining commons locations, with a variety of fresh entrees, salards, soups, and sides catering to vegetarian/vegan and gluten- and other allergen-free diets.",$10-15
