ID,Lat,Long,LayerName,Name,Manager,Contact,Contact(NOHTML),Website,Acreage,Date,Hours,Photo
1,37.869431,-122.259694,Campus Gardens,Basic Needs Herb Vertical Garden,Basic Needs Garden,<a href='mailto:basicneedssupport@berkeley.edu'>basicneedssupport@berkeley.edu</a>,basicneedssupport@berkeley.edu,https://basicneeds.berkeley.edu/,<.25,2019,Mon-Fri: 9am-5pm,
2,37.913539,-122.284945,Campus Gardens,Blake Garden,College of Environmental Design,"Garden Manager Meghan Ray, (510) 524-2449 or <a href='mailto:meghanray@berkeley.edu'>meghanray@berkeley.edu</a>","Garden Manager Meghan Ray, (510) 524-2449 or meghanray@berkeley.edu",http://blakegarden.ced.berkeley.edu/,10.5,1922-24,"Mon-Fri 8am-4:30pm, closed on university holidays. Some classes come on Saturdays with prior consent.",https://drive.google.com/open?id=1yWCDjrf_nPomdrgOf5n2MfoYrGpP91Ut
3,37.873713,-122.265895,Campus Gardens,Campus Ecological Action and Sustainable Design Gardens (Barker),College of Natural Resources,"Jessica Gonzalez, <a href='mailto:jessica.gonzalez@berkeley.edu'>jessica.gonzalez@berkeley.edu</a> and Isabel Ortiz, <a href='mailto:ixortiz@berkeley.edu'>ixortiz@berkeley.edu</a>","Jessica Gonzalez, jessica.gonzalez@berkeley.edu and Isabel Ortiz, ixortiz@berkeley.edu",https://food.berkeley.edu/programs/community-engagement-edu/campus-gardens/,<.25,2014,Mon 2-4pm (Spring 2017),
4,37.873579,-122.262584,Campus Gardens,Campus Ecological Action and Sustainable Design Gardens (Giannini),College of Natural Resources,"Jessica Gonzalez, <a href='mailto:jessica.gonzalez@berkeley.edu'>jessica.gonzalez@berkeley.edu</a> and Isabel Ortiz, <a href='mailto:ixortiz@berkeley.edu'>ixortiz@berkeley.edu</a>","Jessica Gonzalez, jessica.gonzalez@berkeley.edu and Isabel Ortiz, ixortiz@berkeley.edu",https://food.berkeley.edu/programs/community-engagement-edu/campus-gardens/,<.25,2014,Mon 2-4pm (Spring 2017),
5,37.872516,-122.264076,Campus Gardens,Campus Ecological Action and Sustainable Design Gardens (Mulford),College of Natural Resources,"Jessica Gonzalez, <a href='mailto:jessica.gonzalez@berkeley.edu'>jessica.gonzalez@berkeley.edu</a> and Isabel Ortiz, <a href='mailto:ixortiz@berkeley.edu'>ixortiz@berkeley.edu</a>","Jessica Gonzalez, jessica.gonzalez@berkeley.edu and Isabel Ortiz, ixortiz@berkeley.edu",https://food.berkeley.edu/programs/community-engagement-edu/campus-gardens/,<.25,2014,Mon 2-4pm (Spring 2017),
6,37.875578,-122.260886,Campus Gardens,Casa Zimbabwe Garden,Berkeley Student Cooperative,"House Manager, <a href='mailto:cazhm@bsc.coop'>cazhm@bsc.coop</a>","House Manager, cazhm@bsc.coop",https://www.bsc.coop/,<.25,1967,Coop residents and guests only.,
7,37.863512,-122.248947,Campus Gardens,Clark Kerr Garden,Clark Kerr Grounds; Cal Dining,<a href='mailto:clarkkerrgarden@gmail.com'>clarkkerrgarden@gmail.com</a>,clarkkerrgarden@gmail.com,https://www.facebook.com/ClarkKerrGardenCalDining/?fref=ts,<.25,2010,"Fri 1-3pm, Sun 10am-12pm (Fall 2019)",https://drive.google.com/open?id=1SdcoE60cyKO_HkLoWzrFZ7qtvneSvCua
8,37.876127,-122.258085,Campus Gardens,Cloyne Court Hotel Garden,Berkeley Student Cooperative,"House Manager, <a href='mailto:clohm@bsc.coop'>clohm@bsc.coop</a>","House Manager, clohm@bsc.coop",https://www.bsc.coop/,<.25,1946,Coop residents and guests only.,https://drive.google.com/open?id=1tKjhRrtetnGcSFmQhK3I5hach3xLMRL4
9,37.87296,-122.264874,Campus Gardens,Faculty and Staff Community Garden,University Health Services,"Kim Guess, <a href='mailto:kguess@berkeley.edu'>kguess@berkeley.edu</a>","Kim Guess, kguess@berkeley.edu",https://uhs.berkeley.edu/staff-community-garden,<.25,2019,Refer to volunteer opportunities on the webpage,
10,37.86957,-122.258121,Campus Gardens,Fannie Lou Hamer Garden,Fannie Lou Hamer Black Resource Center,"Student Manager Gia Jones, <a href='mailto:gijones@berkeley.edu'>gijones@berkeley.edu</a>","Student Manager Gia Jones, gijones@berkeley.edu",https://uhs.berkeley.edu/blackhealthmatters/campus-resources,<.25,2017,N/A,
