ID,LayerName,Name,Type,Notes,Notes(NOHTML),ZIndex,LinkNotes,Link,Lat,Long
1,Self-Service Facilities,Campus Shared Services Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.873235,-122.30227
2,Self-Service Facilities,Berkeley Way West,lactation,"Lactation rooms are located on the 5th, 4th, and 3rd floors. To request access to the 5th floor room, contact the Building Manager at <a href='mailto:agarcia@ngkf.com'>agarcia@ngkf.com</a>","Lactation rooms are located on the 5th, 4th, and 3rd floors. To request access to the 5th floor room, contact the Building Manager at agarcia@ngkf.com",500,,,37.873355,-122.26799
3,Self-Service Facilities,Birge Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.872165,-122.257341
4,Self-Service Facilities,California Hall Lactation Room,lactation,See building manager for access,See building manager for access,500,,,37.871901,-122.260359
5,Self-Service Facilities,Cheit Hall at Haas Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.8718,-122.2543
6,Self-Service Facilities,Dwinelle Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.87044,-122.260431
7,Self-Service Facilities,Energy Biosciences Building Lactation Room,lactation,"For access to the lactation room, please contact Kristy Nordahl at <a href='mailto:knordahl@berkeley.edu'>knordahl@berkeley.edu</a> or (510) 664-7110","For access to the lactation room, please contact Kristy Nordahl at knordahl@berkeley.edu or (510) 664-7110",500,,,37.873828,-122.266938
8,Self-Service Facilities,Eshleman Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.868722,-122.260761
9,Self-Service Facilities,Evans Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.873761,-122.257867
10,Self-Service Facilities,Giannini Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.873528,-122.262311
11,Self-Service Facilities,Haas School of Business Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.871466,-122.25373
12,Self-Service Facilities,Li Ka Shing Center Lactation Room,lactation,See building manager for access: <a href='mailto:lks_help@berkeley.edu'>lks_help@berkeley.edu</a> or visit building management in 171 Li Ka Shing Center,See building manager for access: lks_help@berkeley.edu or visit building management in 171 Li Ka Shing Center,500,,,37.873168,-122.265225
13,Self-Service Facilities,Life Sciences Addition Lactation Room,lactation,"See building manager for access: Barbara Duncan, <a href='mailto:bduncan@berkeley.edu'>bduncan@berkeley.edu</a> or (510) 643-8121","See building manager for access: Barbara Duncan, bduncan@berkeley.edu or (510) 643-8121",500,,,37.871615,-122.263352
14,Self-Service Facilities,Moffitt Library Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.872493,-122.260673
15,Self-Service Facilities,Residential Student Services Building Lactation Room,lactation,See building manager for access,See building manager for access,500,,,37.867044,-122.255722
16,Self-Service Facilities,Simon Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.869857,-122.252633
