name, description, link, address,phone,picture,latitude,longitude
Albany Bulb,"Along this small peninsula you will discover the remnants of a three-story shack made of found materials, a fifteen-foot woman made of driftwood, and a labyrinth. Not to mention a lovely beach, eucalyptus grove, and jaw-dropping Bay views. A walk along one of several paths along the peninsula is a hybrid of a hike and a stroll through an art gallery. Sculptures fashioned out of rusted rebar and hubcaps are accompanied by paintings on a canvas made of a cement block.",https://www.alltrails.com/trail/us/california/albany-bulb,"1 Buchanan St, Albany, CA 94706",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/albanybulb-1.jpg,37.88971,-122.324761
Claremont Canyon,"On a clear day, the top of the canyon boasts unobstructed views of Berkeley, Oakland, and the northern Bay. Start off in the cool lower canyon and climb up to the exposed ridge, where you�ll be rewarded with the lookout points. The ridges along Berkeley and Oakland are connected with a robust network of trails, feel free to dip down into the adjoining canyons to explore other ecosystems.",https://lamorindahikes.com/2014/01/14/claremont-canyon-lookout/,"Stonewall-Panoramic Trail, Berkeley, CA 94705", 888-327-2757,https://recsports.berkeley.edu/wp-content/uploads/2020/09/claremontcanyon.jpg,37.865571,-122.244923
Coyote Hills Regional Park,"The South Bay gets a bit overshadowed by the dramatic vistas of the North and East Bays, but she sure can hold her own with the outdoor scenes! If you�ve had the window seat on a flight out of SFO, you�ve likely seen the patchwork of multicolored pools in the southern part of our beloved Bay. Did you know those are man-made salt ponds? The ponds are engineered to extract and harvest salt from the salinity of the Bay water, and the 8,000 acres of ponds are currently managed by the Cargill corporation.",https://www.ebparks.org/Parks/Coyote_Hills/,"8000 Patterson Ranch Road, Fremont, CA 94555",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/coyotehills.jpg,37.553128,-122.090644
Joaquin Miller Park,"Joaquin Miller is home to many multi-use trails, making it a local favorite for hikers, mountain bikers, dog walkers, and even equestrians. The park�s robust trail network offers something for every stage of outdoorsperson, and its proximity to Berkeley and Oakland generates quite a bit of popularity.",https://bahiker.com/eastbayhikes/joaquinmiller.html,"3590 Sanborn Dr, Oakland, CA 94602",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/joaquinmiller-1.jpg,37.810469,-122.184893
Las Trampas Regional Wilderness,"Las Trampas translates to �the snares�, and for good reason � this park is known for its dramatic inclines and fine gravely topsoil, so step carefully! It�s ruggedness makes it less traveled, which lends itself perfectly to a quiet adventure across the 5342 acres of wilderness. If you choose to climb one of the two hilly ridges in the park, you may be so lucky as to come upon a fossil from the Miocene era.",https://www.alltrails.com/trail/us/california/rocky-ridge-view-sycamore-and-devils-hole-loop-trail?u=m,"Elderberry Tr, San Ramon, CA 94583",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/lastrampas-1.jpg,37.812121,-122.043667
Leona Canyon,"A tucked away Oakland hills gem, Leona Canyon is a local favorite for its dramatic canyon walls and year-round running creek. You�ll immediately be transported to a Fern Gully-esque open space with myriad varietals of local fauna and flora. The trail starts at a gradual incline and slowly gets steeper, allowing for hikers to tailor their own level of challenge.",https://bahiker.com/eastbayhikes/leona.html,"Leona Trail, Oakland, CA 94605",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/leonacanyon.jpg,37.783409,-122.152957
Knox Regional Shoreline,"Miller-Knox has a bit of something for everyone � with a beach, a historic railway and ferry pier, some peaks to climb, Bay views to gawk at, a lagoon for wildlife, and wide open spaces to roam.",https://www.ebparks.org/parks/miller_knox/,"900 Dornan Drive
Richmond, CA 94801",888-327-2757,https://recsports.berkeley.edu/wp-content/uploads/2020/09/millerknox.jpg,37.915321,-122.383577
Mount Diablo,"The mountaintop is home to a beacon that was lit in 1928 by famed aviator Charles Lindbergh, but later extinguished in 1941 shortly after the war began. Today, the beacon is only lit once a year � on December 7th, to honor those who lost their lives at Pearl Harbor. On clear days, it can be viewed from all over Northern California, and is still used as the geographic reference point for many California maps.",https://www.parks.ca.gov/?page_id=517,"2675 Mt Diablo Scenic Blvd, Blackhawk, CA 94506",(925) 837-2525,https://recsports.berkeley.edu/wp-content/uploads/2020/09/diablo-1.jpg,37.844066,-121.949295
Oakland Waterfront,"Boasting unparalleled views of San Francisco�s skyline and 227 miles of paved pathways, the Bay Trail is more accessible than you may think. Explore the Bay�s largest active port, observe sea birds, and take in the local history of Jack London Square and the surrounding estuary. Stroll along to Estuary Park for a picnic from one of many local eateries open for takeout.",https://sfbaywatertrail.org/trailhead/estuary-park/,"115 Embarcadero, Oakland, CA 94607",5102386580,https://recsports.berkeley.edu/wp-content/uploads/2020/09/jacklondon.jpg,37.790768,-122.265902
Sibley Volcanic Regional Preserve,"Explore the rolling hills, ridges and valleys of the park and enough and you will come upon not one, but two labyrinths. Exposed cliffsides showcase the area�s geologic history, and livestock grazing policies mean you could come upon a bovine friend or two.",https://bahiker.com/eastbayhikes/sibley.html,"Round Top Loop Trail, Oakland, CA 94611",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/sibley-2.jpg,37.850281,-122.196786
Strawberry Canyon,"Known locally as the Fire Trails, they provide a tranquil getaway from campus, and an excellent uphill workout. The burn will be worth it for the stroll along a babbling creek, and later the Bay vistas. Step off the trail at Metcalf Grove to immerse yourself in a Redwood forest, and you might even find a fairy house. Follow the Grove trail to connect with some of the Claremont Canyon trails, or continue along the Fire Trails to soak up those panoramic views.",https://www.alltrails.com/trail/us/california/strawberry-canyon-fire-trail,"Centennial Dr, Berkeley, CA 94704",5106432755,https://recsports.berkeley.edu/wp-content/uploads/2020/09/strawberrycanyon-1.jpg,37.872071,-122.248102
Treasure Island,"Initially conceptualized as a second San Francisco airport to host Pan Am�s line of Trans-Pacific �flying boats,� Treasure Island is one of the world�s largest artificial islands and home to some amount of radioactive dirt. Explore the perimeter of the island for unparalleled views of San Francisco and the whole Bay!",https://www.greenbelt.org/blog/urban-outing-treasure-island-great-views-of-san-francisco/,"Hillcrest Rd, San Francisco, CA",,https://recsports.berkeley.edu/wp-content/uploads/2020/09/treasureisland.jpg,37.809633,-122.363451
