location,address,latitude,longitude
Cafe 3,"2436 Durant Ave, Berkeley, CA 94704",37.867157,-122.260367
Clark Kerr,"2601 Warring St, Berkeley, CA 94720",37.8637645,-122.2499039
Crossroads,"2415 Bowditch St, Berkeley, CA 94720",37.8669091,-122.256178
Foothill,"2700 Hearst Ave, Berkeley, CA 94720",37.87538,-122.2561211
Edwards Track,"2223 Fulton St, Berkeley, CA 94704",37.8687623,-122.2658367
GBRC Pool,"25 Sports Lane, Berkeley, CA 94720",37.8650471,-122.2471421
Hearst North Pool,"Bancroft Way & Bowditch St, Berkeley, CA 94704",37.8690034,-122.2568986
Memorial Stadium,"2227 Piedmont Ave, Berkeley, CA 94720",37.8703831,-122.2513493
RSF,"2301 Bancroft Way, Berkeley, CA 94720",37.8685702,-122.2627233
Recreational Sports Facility,"2301 Bancroft Way, Berkeley, CA 94720",37.8685702,-122.2627233
SCRA Pool,,37.872202,-122.246638
Spieker Pool,"2301 Bancroft Way, Berkeley, CA 94704",37.868317,-122.2622719
Anthropology Library,"230 Kroeber Hall, Berkeley, CA 94720",37.869843,-122.2552849
Art History/Classics Library,"Doe Library #308, Berkeley, CA 94720",37.8722493,-122.2594328
BAMPFA Film Library & Study Center,"2155 Center St, Berkeley, CA 94720",37.8707803,-122.2664795
Bancroft Library/University Archives,,37.872284,-122.258886
Berkeley Law Library,"2778 Bancroft Way, Berkeley, CA 94720",37.8695315,-122.2527975
"Bioscience, Natural Resources & Public Health Library","2101 Valley Life Sciences Bldg, Berkeley, CA 94720",37.8714896,-122.2621408
Business Library,"2220 Piedmont Ave, Berkeley, CA 94720",37.8715011,-122.2538019
CED Visual Resources Center,"Wurster Hall, 492, Berkeley, CA 94720",37.870506,-122.254925
Career Counseling Library,"2222 Bancroft Way, Berkeley, CA 94720",37.8678925,-122.2643275
Chemistry and Chemical Engineering Library,"100 South Dr, Berkeley, CA 94720",37.8728916,-122.2558874
Copy Center,,,
Doe Library,,37.872178,-122.259561
Earth Sciences & Map Library,,37.874088,-122.259691
East Asian Library,,37.873527,-122.260436
Engineering Library,,37.874108,-122.258416
Kresge Library First Floor,,37.874108,-122.258416
Environmental Design Library,"230 Wurster Hall, Berkeley, CA 94720",37.8705857,-122.2549572
Ethnic Studies Library,"30 Stephens Hall, Berkeley, CA 94720",37.8713614,-122.2575924
Graduate Services,"208 Library Ct, Berkeley, CA 94704",37.8722493,-122.2594329
Graduate Theological Union Library,"2400 Ridge Rd, Berkeley, CA 94709",37.8755636,-122.2618661
Institute of Governmental Studies Library,"109 Moses Hall # 2370, Berkeley, CA 94720",37.8709994,-122.2579924
Institute of Transportation Studies Library,"109 McLaughlin Hall, Berkeley, CA 94720",37.8738007,-122.2590523
Interlibrary Services,,,
Main (Gardner) Stacks,,37.87219,-122.259516
Mark Twain Papers & Project,"The Bancroft Library, Room 475, Berkeley, CA 94720",37.872284,122.258892
Mathematics Statistics Library,"100 Evans Hall, Berkeley, CA 94720",37.8736829,-122.2578559
