name,category,tag,address,description,by_appointment,email,latitude,longitude,on_campus,Cal1Card_Accepted,EatWell_Accepted,Average_Meal,phone,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours
Cal Student Central,Campus Resource,Admin,"Barrow Ln, Berkeley, CA 94704",Sproul Hall Office at 120A,No,sishelp@berkeley.edu,37.869622,-122.25876,Yes,,,,510-664-9181,Closed,"9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm",Closed
Financial Aid & Scholarships Office,Campus Resource,Admin,"Barrow Ln, Berkeley, CA 94704",201 Sproul Hall #1960,No,studentcentral.berkeley.edu/open-case,37.869622,-122.25876,Yes,,,,855 895-3690,Closed,"9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm",Closed
Food Pantry,Campus Resource,Basic Needs,"2495 Bancroft Way, Berkeley, CA 94720",Room 68 MLK Student Union,No,foodsyscoords@gmail.com,37.869507,-122.259683,Yes,,,,510 642-0055,10am-2pm,10am-6:30pm,11:30am-7:30pm,10:30am-7:30pm,10:30am-7:30pm,11:30am-7:30pm,10am-2pm
Gender Equity and Resource Center,Campus Resource,Admin,"202 Cesar Chavez, Berkeley, CA 94705",Cesar Chavez Student Center,No,geneq@berkeley.edu,37.869911,-122.260266,Yes,,,,510 642-4786,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Office for the Prevention of Harassment & Discrimination,Campus Resource,Health,"2111 Bancroft Way, Suite 300. Berkeley, CA 94720-1120",Office of the Chancellor,Yes,ask_ophd@berkeley.edu,37.868198,-122.266918,Yes,,,,510 643-7985,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Office of the Registrar,Campus Resource,Admin,120 Sproul Hall,120 Sproul Hall,No,orres@berkeley.edu,37.869622,-122.25876,Yes,,,,510-664-9181,Closed,Cloased,10am-12pm,2pm-4pm,2pm-4pm,10am-12pm,Closed
Ombuds Office,Campus Resource,Admin,"2350 Bowditch Street, Berkeley, California",Fox Cottage,Yes,Not Available,37.869475,-122.256267,Yes,,,,510Â 642-7823,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Path to Care Confidential Care Advocates,Campus Resource,Health,,PATH to Care Center,No,pathtocare@berkeley.edu,,,Yes,,,,510-643-2005,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Student Advocate Office,Campus Resource,Admin,"2465 Bancroft Way, Berkeley, CA, 94704","Eshleman Hall, Office 412B",Yes,help@berkeleysao.org,37.868994,-122.250377,Yes,,,,510 642-6912,Closed,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,Closed
Student Legal Services,Campus Resource,Admin,"Barrow Ln, Berkeley, CA 94704",102 Sproul Hall,Yes,https://ucberkeley-sls.youcanbook.me/,37.869811,-122.258765,Yes,,,,Not Available,Closed,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,Closed
Suicide Prevention Resource Center,Campus Resource,Health,"2222 Bancroft Way, Berkeley, CA 94720",UC Berkeley Counseling and Psychological Services,No,studentofconcern@berkeley.edu,,,Yes,,,,510 642-9494,Closed,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,Closed
Tang Center,Campus Resource,Health,"2222 Bancroft Way, Berkeley, CA 94720",University Health Services,Yes,Not Available,37.867913,-122.264275,No,,,,510 642-2000,10am-4pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,10am-4pm
The Center for Student Conduct,Campus Resource,Admin,"Barrow Ln, Berkeley, CA 94704",Division of Student Affairs,Yes,Not Available,37.869811,-122.258765,Yes,,,,510-643-9069,Closed,"9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm","9am-12pm,1pm-4pm",Closed
UCPD,Campus Resource,Admin,"1 Cross-Sproul Path, Berkeley, CA 94720",UC Police Department Berkeley,,police@berkeley.edu,37.8692,122.2587,No,,,,510-642-3333,12am-12am,12am-12am,12am-12am,12am-12am,12am-12am,12am-12am,12am-12am
Cal Dining Food Recovery,Campus Resource,Basic Needs,"2610 Channing Way, Berkeley, CA 94704",Cal Dining has partnered with RePlate to donate overproduced food to people in need. ,no,http://caldining.berkeley.edu/sustainability/waste-reduction,37.8670799,-122.2578648,Yes,,,,,,,,,,,
CalFresh Clinics and Application Assistance,Campus Resource,Basic Needs,MLK Student Union Bnorth Suite 72,"Learn about and sign up for CalFresh, which provides up to $193 food dollars each month to qualifying individuals.",no,http://calfresh.berkeley.edu/,37.869359,-122.259898,Yes,,,,,,,,,,,
Event Food Recovery,Campus Resource,Basic Needs,MLK Student Union Bnorth Suite 72,Learn about how to ensure exess food from meetings and events does not go to waste.,no,https://food.berkeley.edu/programs/community-engagement-edu/food-recovery/,37.869359,-122.259898,Yes,,,,,,,,,,,
Food Assistance Program,Campus Resource,Basic Needs,MLK Student Union Bnorth Suite 72,"The Food Assistance Program provides temporary food assistance in the form of meal points or a grocery store gift card, and is available to non-CalFresh eligible students with financial need.",no,http://financialaid.berkeley.edu/food-assistance-program,37.869548,-122.258754,Yes,,,,,,,,,,,
Garden & Farming Skills,Campus Resource,Basic Needs,University Hall,"Campus gardens are spaces to learn skills to feed yourself and are a vital part of our Basic Needs community. You can grow food almost anywhere, even in a dorm room window. Many gardens also donate to the Food Pantry throughout the year. Click on the ""Campus Gardens"" layer leaf icon to learn about our diverse garden resources.",no,https://food.berkeley.edu/programs/community-engagement-edu/campus-gardens/,37.871674,-122.266268,No,,,,,,,,,,,
